test_id,test_name,description,expected_result,priority,category
TC-021,Super Admin - Audit Trails Session Logs,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to Audit Trails from the admin menu.
e. Click on the Session Logs sub-section.
f. Wait for the session logs to load.
g. Verify that session details including user, session duration, and actions performed are visible for each entry.","Super Admin can view all session logs with accurate session and user activity details displayed without errors.",High,Security
TC-022,Super Admin - Features Toggle (Multi-level Assign / User Availability Calendar / Service Definition),"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to System Features or Feature Management section.
e. Locate the toggle for Multi-level Assign and turn it ON; click Save and verify the feature is enabled.
f. Locate the toggle for User Availability Calendar and turn it OFF; click Save and verify the feature is disabled.
g. Locate the toggle for Service Definition and switch its state; click Save and verify it reflects the new state.
h. Revert all changes and confirm the system responds correctly.","Super Admin can enable or disable features such as Multi-level Assign, User Availability Calendar, and Service Definition; each state change is saved and reflected immediately in the application.",High,Functional
TC-023,Super Admin - System Configuration (Auto Assign Interval / Queue Size / TAT / Alerts),"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to System Configuration from the admin menu.
e. Update the Auto Assign Interval field with a new value.
f. Update the Auto Assign Queue Size field with a new value.
g. Enable or configure the Check Service TAT option.
h. Configure the Send Alerts settings with appropriate values.
i. Click Save or Apply.
j. Verify a success confirmation message is displayed and configuration changes are persisted.","Super Admin can configure system parameters including auto-assign interval, queue size, TAT checking, and alert settings; all changes are saved and applied successfully.",High,Functional
TC-024,Super Admin - Upload Configuration (DICOM / Compression),"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to Upload Configuration section.
e. View the current Default DICOM Receive Configuration settings.
f. Modify one or more DICOM receive configuration parameters.
g. Locate the Compression Configuration settings and update the values.
h. Click Save.
i. Verify a success message is shown and the updated configuration is displayed correctly.","Super Admin can view and modify upload configurations including DICOM receive and compression settings; all changes are persisted and reflected correctly after saving.",High,Functional
TC-025,Super Admin - Master Password Configuration (Enable / Change),"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to Master Password Configuration section.
e. Enable the master password feature using the available toggle or checkbox.
f. Enter a new master password and confirm it in the confirm password field.
g. Click Save or Apply and verify a success confirmation message appears.
h. Navigate back to the section and click Change Password.
i. Enter the current master password followed by the new password and confirm it.
j. Click Save and verify the password change confirmation message is shown.","Super Admin can enable and change the master password; changes are applied successfully and confirmation messages are displayed at each step.",High,Security
TC-026,Super Admin - Workspace (List Scans / Export / Delete Studies / Patient View / Study View),"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Workspace section.
e. Verify the full list of all scans and studies is displayed.
f. Apply available filters and confirm the list updates accordingly.
g. Select one or more studies and click Export; verify the export action is triggered successfully.
h. Select a study and click Delete; confirm the deletion in the dialog and verify the study is removed.
i. Switch to Patient View and verify studies are grouped by patient.
j. Switch to Study View and verify studies are displayed by individual study.","Super Admin can list all scans, export selected studies, delete studies with confirmation, and toggle between Patient View and Study View in the Workspace without errors.",High,Smoke Test
TC-027,Super Admin - Calendar My Meeting,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Calendar section from the main menu.
e. Click on the My Meeting tab or view.
f. Wait for the meeting list to load.
g. Verify that all scheduled meetings for the logged-in Super Admin are displayed.
h. Click on a meeting entry and verify meeting details such as title, time, and participants are shown.","Super Admin can view their scheduled meetings under the My Meeting calendar view with correct and complete meeting details.",Medium,Functional
TC-028,Super Admin - My Doctors Calendar,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Calendar section.
e. Click on the My Doctors Calendar tab or view.
f. Wait for the calendar to load.
g. Verify that the calendar displays availability and schedules for all associated doctors.
h. Navigate across different dates or weeks and verify the calendar updates correctly.","Super Admin can view the doctors calendar showing doctor availability and scheduling information accurately; navigation across dates works without errors.",Medium,Functional
TC-029,Super Admin - Update User Profile,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Click the profile icon or navigate to My Profile from the top menu.
e. Click the Edit button on the profile page.
f. Update one or more fields such as name, email, or phone number.
g. Click Save or Update.
h. Verify a success confirmation message is displayed.
i. Reload the profile page and confirm the updated details are shown correctly.","Super Admin can update their user profile; all changes are saved and the updated profile information is displayed correctly upon reload.",Medium,Functional
TC-030,Super Admin - Change Password,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to Change Password from the profile menu or settings.
e. Enter the current password as i2iadmin.
f. Enter a new password and confirm it in the confirm password field.
g. Click Save or Change Password.
h. Verify a success confirmation message is shown.
i. Log out of the application.
j. Navigate to https://dev2.heartnetnetindiademo.in/connect and log in using the new password.
k. Verify successful login with the updated credentials.","Super Admin can successfully change their password; the new password is applied and login with the updated credentials works correctly.",High,Security
TC-031,Super Admin - List All Types of Users,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to User Management section.
e. View the complete list of all users across all roles.
f. Verify that user types including Super Admin, Hospital Admin, Technician, Physician, and others are listed.
g. Apply a role-based filter and verify the list updates to show only users of the selected role.","Super Admin can view the complete list of all user types with accurate role and status information; role-based filtering works correctly.",High,Functional
TC-032,Super Admin - Add User,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to User Management section.
e. Click the Add User button.
f. Select a user role from the role dropdown.
g. Fill in all required fields such as name, email, contact number, and institution.
h. Click Save or Submit.
i. Verify the new user appears in the user list with correct role and details.","Super Admin can add a new user of any type; the user is saved and visible in the user list with correct role and profile details.",High,Functional
TC-033,Super Admin - Edit User,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to User Management section.
e. Select an existing user from the list.
f. Click the Edit button or icon for that user.
g. Modify one or more fields such as name or contact number.
h. Click Save.
i. Verify the updated user information is reflected in the user list.","Super Admin can edit existing user details; all changes are saved and the user list reflects the updated information.",High,Functional
TC-034,Super Admin - Add/Edit User Signature,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to User Management section.
e. Select a user from the list.
f. Click on Add Signature or Edit Signature option.
g. Upload a signature image or draw the signature in the provided input field.
h. Click Save.
i. Verify the signature is saved and displayed in the user profile.","Super Admin can add or edit a user's signature; the signature is saved and correctly associated with the user's profile.",Medium,Functional
TC-035,Super Admin - Service Offered,"Navigate to https://dev2.heartnetnetindiademo.in/connect.
a. Enter username as i2iadmin.
b. Enter password as i2iadmin.
c. Click the Login button and wait for the dashboard to load.
d. Navigate to the Services Offered section.
e. View the current list of services offered.
f. Click Add and fill in the required fields for the new service offering.
g. Click Save and verify the new service appears in the Services Offered list.
h. Select an existing service and click Edit.
i. Modify a field and click Save.
j. Verify the updated service is reflected correctly in the list.","Super Admin can view, add, and edit services offered; all changes are saved and the services offered list is updated accurately.",Medium,Functional
